case_id,ESR-mediated signaling (Reactome R-HSA-8939211),Nuclear Receptor transcription pathway (Reactome R-HSA-383280),Signaling by ERBB2 (Reactome R-HSA-1227986),Signaling by EGFR (Reactome R-HSA-177929),PIP3 activates AKT signaling (Reactome R-HSA-1257604),G2/M Transition (Reactome R-HSA-69275),Mitotic Spindle Checkpoint (Reactome R-HSA-69618),p53-Dependent G1 DNA Damage Response (Reactome R-HSA-69563),DNA Double-Strand Break Repair (Reactome R-HSA-5693532),Adherens junctions interactions (Reactome R-HSA-418990),Tight junction interactions (Reactome R-HSA-420029),Signaling by TGF-beta Receptor Complex (Reactome R-HSA-170834),Degradation of the extracellular matrix (Reactome R-HSA-1474228),Integrin cell surface interactions (Reactome R-HSA-216083),Collagen formation (Reactome R-HSA-1474290),TCR signaling (Reactome R-HSA-202403),Signaling by the B Cell Receptor (BCR) (Reactome R-HSA-983705),Interferon gamma signaling (Reactome R-HSA-877300),Co-inhibition by PD-1 (Reactome R-HSA-389948),Cellular response to hypoxia (Reactome R-HSA-1234174),RIPK1-mediated regulated necrosis (Reactome R-HSA-5213460),Signaling by BMP (Reactome R-HSA-201451)
TCGA-A2-A0CV,70.3938466379044,42.879479840876655,40.539575310042125,14.849212622795676,32.832689208251566,-64.4625872817274,-101.91067439378575,14.617834529414012,-3.3111877288307596,94.49968920063361,38.6684818223963,26.402476260309157,0.19728154873226345,41.32824376408905,93.60345312171356,-69.99259961219747,-59.68990112432941,41.41943349000721,-64.18350466539098,34.8110599794976,-32.40602131805264,-28.167199719270755
TCGA-A2-A0CW,83.53293309182607,60.83190498835006,50.23867244664348,11.479254947639845,15.970526627200229,40.346765097807435,-3.6239533432500934,-24.229204812588208,8.877829550135857,98.92700835438077,31.554760170880087,3.4155139467231947,-14.315988761284757,14.591559579288486,85.82887426550926,-79.7804603875047,-86.33216066102915,35.0499591678128,-64.50617064140447,33.77813749204961,-20.422826402412042,-31.9054681365658
TCGA-A2-A0CX,74.65657045351134,34.31987804515214,52.93116237419218,11.265736753158109,20.599860389602696,7.328738139585823,-30.310250905129408,-9.063550784660237,3.096287720154038,85.84159924420175,4.7613785375382065,3.650209218381036,22.022785401655653,32.67972132454281,106.36185230594634,-74.39026403806758,-92.5650948786658,40.54885436217688,-69.54352744946448,39.85684698384222,-34.97543557666904,-30.81884050163002
TCGA-A2-A0CY,71.92386108942225,28.133017876646505,50.503233364818726,25.485640063149418,24.166681617276083,3.0098203168376756,-29.275809446942816,14.986752580688432,-7.471576892466572,100.47644836588086,41.0430620671284,7.642223831446927,-2.493599404148142,9.91318864397843,93.65069213430786,-83.29109895833082,-79.95633503465469,-24.602189597853794,-73.64935225975663,77.58021001129612,-22.780561658477325,-14.557490291264727
TCGA-A2-A0CZ,70.3092804199901,32.07217233661308,44.30738649401198,23.574961224635416,30.348131608548584,-81.16990795765093,-98.820198976749,-0.7607434990836737,-12.86489634879257,90.8646219953522,2.8861316792306297,28.142745183177368,43.25563526425037,48.88670489105584,109.33506995644967,-59.94282535010272,-71.39232828460794,27.70894041472198,-59.878754344250936,26.966302132938893,-32.85247687150748,-19.606032664075244
TCGA-A2-A0D0,31.643503667837166,6.688824887305287,40.801806597624676,25.540516664054792,27.29319272964335,71.36692409909773,45.50451832044007,-22.797980987868883,5.636262882573817,81.32576620043835,7.090209132607214,-3.912003144468372,5.227873105334027,23.092742018884792,87.08652465890361,-79.30297629958173,-84.17551620932322,52.003854316691815,-64.31788755044155,49.05627845443948,-39.98352294654012,-35.98103717697519
TCGA-A2-A0D1,63.461995104666045,19.313490222909763,76.1659375229537,42.301540897442294,25.04239903765597,12.05927773954241,-10.924305587426886,-38.925456868101065,9.754688758759954,96.63432933362114,18.61057253300001,14.145294382224193,-3.0344967071575297,31.08914908233251,99.5370010000243,-80.98660798136014,-78.468712461663,-8.97003230299157,-78.92736533132842,44.59550475928742,-42.11382812203166,-18.060688137863067
TCGA-A2-A0D2,34.21132987972243,-2.367686413221577,37.69689312196073,20.3214542300056,14.061296631007906,62.52365781297371,22.71745807240245,-16.509197780746135,4.899173901540905,96.26078630860866,17.916933124735095,15.982271685315908,10.615400818746878,36.5094008432184,103.68699150017031,-68.56634386204448,-60.39946563286851,23.625484535819822,-68.41042982221009,29.29131547996809,-37.86291848342168,-39.585076154935095
TCGA-A2-A0D3,89.24482945899464,66.79794254988155,50.744213869178196,23.468434754809152,33.211454472782464,-68.1565789563104,-86.09378105445487,2.3770297615749882,18.57038969417505,97.83482487331278,26.495800894356478,20.3107051247174,-22.217972240410006,32.70994167211754,85.88570123592663,-67.14525911705763,-61.439374668985764,30.164444781566004,-56.04839268419812,35.337853662092556,-25.490632783231163,-18.86114531298621
TCGA-A2-A0D4,92.04653222231326,56.784735758294005,52.730582444676884,29.061829416983954,17.835031318788083,34.61171740798633,4.843339093714064,3.5221907760271733,10.876528691413228,95.56133525595206,31.30062793118222,7.197582406061201,-35.62699783466782,17.406412452532095,86.17850708559152,-91.58938807021332,-93.17476250259982,2.16819072156531,-76.697989361643,36.93568429317068,-16.09363447283104,-21.453967502929927
